River	Reach	Date	Group	Veg	Coverage
CR	USR	10-2016	A	Ludwigia	54
CR	USR	04-2017	A	Ludwigia	46
CR	USR	10-2017	A	Ludwigia	21
CR	USR	04-2018	A	Ludwigia	0
CR	USR	10-2018	A	Ludwigia	0
CR	USR	04-2019	A	Ludwigia	0
CR	USR	10-2019	A	Ludwigia	0
CR	USR	04-2020	A	Ludwigia	0
CR	USR	10-2020	A	Ludwigia	0
CR	USR	04-2021	A	Ludwigia	12
CR	USR	10-2021	A	Ludwigia	38
CR	USR	04-2013	A	Other	0
CR	USR	10-2013	A	Other	0
CR	USR	04-2014	A	Other	0
CR	USR	10-2014	A	Other	0
CR	USR	04-2015	A	Other	276
CR	USR	10-2015	A	Other	241
CR	USR	04-2016	A	Other	106
CR	USR	10-2016	A	Other	0
CR	USR	04-2017	A	Other	0
CR	USR	10-2017	A	Other	0
CR	USR	04-2018	A	Other	26
CR	USR	10-2018	A	Other	3
CR	USR	04-2019	A	Other	8
CR	USR	10-2019	A	Other	17
CR	USR	04-2020	A	Other	42
CR	USR	10-2020	A	Other	62
CR	USR	04-2021	A	Other	0
CR	USR	10-2021	A	Other	0
CR	USR	04-2013	A	Potamogeton	0
CR	USR	10-2013	A	Potamogeton	0
CR	USR	04-2014	A	Potamogeton	0
CR	USR	10-2014	A	Potamogeton	0
CR	USR	04-2015	A	Potamogeton	0
CR	USR	10-2015	A	Potamogeton	0
CR	USR	04-2016	A	Potamogeton	0
CR	USR	10-2016	A	Potamogeton	0
CR	USR	04-2017	A	Potamogeton	0
CR	USR	10-2017	A	Potamogeton	0
CR	USR	04-2018	A	Potamogeton	0
CR	USR	10-2018	A	Potamogeton	0
CR	USR	04-2019	A	Potamogeton	0
CR	USR	10-2019	A	Potamogeton	0
CR	USR	04-2020	A	Potamogeton	0
CR	USR	10-2020	A	Potamogeton	0
CR	USR	04-2021	A	Potamogeton	0
CR	USR	10-2021	A	Potamogeton	0
CR	USR	04-2013	A	Sagittaria	943
CR	USR	10-2013	A	Sagittaria	832
CR	USR	04-2014	A	Sagittaria	770
CR	USR	10-2014	A	Sagittaria	786
CR	USR	04-2015	A	Sagittaria	828
CR	USR	10-2015	A	Sagittaria	898
CR	USR	04-2016	A	Sagittaria	1075
CR	USR	10-2016	A	Sagittaria	850
CR	USR	04-2017	A	Sagittaria	982
CR	USR	10-2017	A	Sagittaria	956
CR	USR	04-2018	A	Sagittaria	920
CR	USR	10-2018	A	Sagittaria	686
CR	USR	04-2019	A	Sagittaria	1088
CR	USR	10-2019	A	Sagittaria	1219
CR	USR	04-2020	A	Sagittaria	1281
CR	USR	10-2020	A	Sagittaria	1372
CR	USR	04-2021	A	Sagittaria	1391
CR	USR	10-2021	A	Sagittaria	1576
CR	USR	04-2013	A	Vallisneria	0
CR	USR	10-2013	A	Vallisneria	0
CR	USR	04-2014	A	Vallisneria	0
CR	USR	10-2014	A	Vallisneria	0
CR	USR	04-2015	A	Vallisneria	0
CR	USR	10-2015	A	Vallisneria	0
CR	USR	04-2016	A	Vallisneria	0
CR	USR	10-2016	A	Vallisneria	0
CR	USR	04-2017	A	Vallisneria	0
CR	USR	10-2017	A	Vallisneria	0
CR	USR	04-2018	A	Vallisneria	0
CR	USR	10-2018	A	Vallisneria	0
CR	USR	04-2019	A	Vallisneria	0
CR	USR	10-2019	A	Vallisneria	0
CR	USR	04-2020	A	Vallisneria	0
CR	USR	10-2020	A	Vallisneria	0
CR	USR	04-2021	A	Vallisneria	0
CR	USR	10-2021	A	Vallisneria	0
CR	USR	LTBG	A	Bryophyte	1750
CR	USR	LTBG	A	Cabomba	25
CR	USR	LTBG	A	Hygrophila	0
CR	USR	LTBG	A	Ludwigia	25
CR	USR	LTBG	A	Other	0
CR	USR	LTBG	A	Potamogeton	0
CR	USR	LTBG	A	Sagittaria	850
CR	USR	LTBG	A	Vallisneria	0
CR	LL	04-2013	A	Algae	0
CR	LL	10-2013	A	Algae	0
CR	LL	04-2014	A	Algae	0
CR	LL	10-2014	A	Algae	0
CR	LL	04-2015	A	Algae	0
CR	LL	10-2015	A	Algae	0
CR	LL	04-2016	A	Algae	0
CR	LL	10-2016	A	Algae	0
CR	LL	04-2017	A	Algae	0
CR	LL	10-2017	A	Algae	0
CR	LL	04-2018	A	Algae	0
CR	LL	10-2018	A	Algae	0
CR	LL	04-2019	A	Algae	0
CR	LL	10-2019	A	Algae	785
CR	LL	04-2020	A	Algae	0
CR	LL	10-2020	A	Algae	0
CR	LL	04-2021	A	Algae	316
CR	LL	10-2021	A	Algae	350
CR	LL	04-2013	A	Bryophyte	4614
CR	LL	10-2013	A	Bryophyte	3948
CR	LL	04-2014	A	Bryophyte	3325
CR	LL	10-2014	A	Bryophyte	1563
CR	LL	04-2015	A	Bryophyte	1395
CR	LL	10-2015	A	Bryophyte	1692
CR	LL	04-2016	A	Bryophyte	1220
CR	LL	10-2016	A	Bryophyte	1980
CR	LL	04-2017	A	Bryophyte	2460
CR	LL	10-2017	A	Bryophyte	2348
CR	LL	04-2018	A	Bryophyte	2393
CR	LL	10-2018	A	Bryophyte	2061
CR	LL	04-2019	A	Bryophyte	2489
CR	LL	10-2019	A	Bryophyte	1657
CR	LL	04-2020	A	Bryophyte	1107
CR	LL	10-2020	A	Bryophyte	299
CR	LL	04-2021	A	Bryophyte	761
CR	LL	10-2021	A	Bryophyte	427
CR	LL	04-2013	A	Cabomba	263
CR	LL	10-2013	A	Cabomba	295
CR	LL	04-2014	A	Cabomba	198
CR	LL	10-2014	A	Cabomba	295
CR	LL	04-2015	A	Cabomba	261
CR	LL	10-2015	A	Cabomba	287
CR	LL	04-2016	A	Cabomba	116
CR	LL	10-2016	A	Cabomba	165
CR	LL	04-2017	A	Cabomba	155
CR	LL	10-2017	A	Cabomba	194
CR	LL	04-2018	A	Cabomba	165
CR	LL	10-2018	A	Cabomba	308
CR	LL	04-2019	A	Cabomba	239
CR	LL	10-2019	A	Cabomba	298
CR	LL	04-2020	A	Cabomba	200
CR	LL	10-2020	A	Cabomba	402
CR	LL	04-2021	A	Cabomba	238
CR	LL	10-2021	A	Cabomba	432
CR	LL	04-2013	A	Hygrophila	523
CR	LL	10-2013	A	Hygrophila	212
CR	LL	04-2014	A	Hygrophila	15
CR	LL	10-2014	A	Hygrophila	20
CR	LL	04-2015	A	Hygrophila	0
CR	LL	10-2015	A	Hygrophila	0
CR	LL	04-2016	A	Hygrophila	0
CR	LL	10-2016	A	Hygrophila	0
CR	LL	04-2017	A	Hygrophila	0
CR	LL	10-2017	A	Hygrophila	0
CR	LL	04-2018	A	Hygrophila	0
CR	LL	10-2018	A	Hygrophila	0
CR	LL	04-2019	A	Hygrophila	0
CR	LL	10-2019	A	Hygrophila	0
CR	LL	04-2020	A	Hygrophila	0
CR	LL	10-2020	A	Hygrophila	0
CR	LL	04-2021	A	Hygrophila	0
CR	LL	10-2021	A	Hygrophila	0
CR	LL	04-2013	A	Ludwigia	47
CR	LL	10-2013	A	Ludwigia	355
CR	LL	04-2014	A	Ludwigia	247
CR	LL	10-2014	A	Ludwigia	182
CR	LL	04-2015	A	Ludwigia	578
CR	LL	10-2015	A	Ludwigia	437
CR	LL	04-2016	A	Ludwigia	517
CR	LL	10-2016	A	Ludwigia	509
CR	LL	04-2017	A	Ludwigia	628
CR	LL	10-2017	A	Ludwigia	495
CR	LL	04-2018	A	Ludwigia	572
CR	LL	10-2018	A	Ludwigia	364
CR	LL	04-2019	A	Ludwigia	373
CR	LL	10-2019	A	Ludwigia	576
CR	LL	04-2020	A	Ludwigia	542
CR	LL	10-2020	A	Ludwigia	802
CR	LL	04-2021	A	Ludwigia	698
CR	LL	10-2021	A	Ludwigia	1129
CR	LL	04-2013	A	Other	432
CR	LL	10-2013	A	Other	350
CR	LL	04-2014	A	Other	352
CR	LL	10-2014	A	Other	307
CR	LL	04-2015	A	Other	178
CR	LL	10-2015	A	Other	140
CR	LL	04-2016	A	Other	253
CR	LL	10-2016	A	Other	154
CR	LL	04-2017	A	Other	68
CR	LL	10-2017	A	Other	46
CR	LL	04-2018	A	Other	63
CR	LL	10-2018	A	Other	32
CR	LL	04-2019	A	Other	47
CR	LL	10-2019	A	Other	30
CR	LL	04-2020	A	Other	28
CR	LL	10-2020	A	Other	1
CR	LL	04-2021	A	Other	7
CR	LL	10-2021	A	Other	0
CR	LL	04-2013	A	Sagittaria	2428
CR	LL	10-2013	A	Sagittaria	2639
CR	LL	04-2014	A	Sagittaria	2166
CR	LL	10-2014	A	Sagittaria	2686
CR	LL	04-2015	A	Sagittaria	2270
CR	LL	10-2015	A	Sagittaria	2621
CR	LL	04-2016	A	Sagittaria	2808
CR	LL	10-2016	A	Sagittaria	2960
CR	LL	04-2017	A	Sagittaria	3321
CR	LL	10-2017	A	Sagittaria	3033
CR	LL	04-2018	A	Sagittaria	3027
CR	LL	10-2018	A	Sagittaria	2937
CR	LL	04-2019	A	Sagittaria	3454
CR	LL	10-2019	A	Sagittaria	3734
CR	LL	04-2020	A	Sagittaria	4810
CR	LL	10-2020	A	Sagittaria	3807
CR	LL	04-2021	A	Sagittaria	4206
CR	LL	10-2021	A	Sagittaria	3625
CR	LL	04-2013	A	Vallisneria	14786
CR	LL	10-2013	A	Vallisneria	13795
CR	LL	04-2014	A	Vallisneria	12930
CR	LL	10-2014	A	Vallisneria	12705
CR	LL	04-2015	A	Vallisneria	11713
CR	LL	10-2015	A	Vallisneria	12255
CR	LL	04-2016	A	Vallisneria	12597
CR	LL	10-2016	A	Vallisneria	13170
CR	LL	04-2017	A	Vallisneria	12999
CR	LL	10-2017	A	Vallisneria	12597
CR	LL	04-2018	A	Vallisneria	12799
CR	LL	10-2018	A	Vallisneria	11796
CR	LL	04-2019	A	Vallisneria	12323
CR	LL	10-2019	A	Vallisneria	12201
CR	LL	04-2020	A	Vallisneria	12125
CR	LL	10-2020	A	Vallisneria	12033
CR	LL	04-2021	A	Vallisneria	11975
CR	LL	10-2021	A	Vallisneria	12531
CR	LL	LTBG	A	Bryophyte	3950
CR	LL	LTBG	A	Cabomba	500
CR	LL	LTBG	A	Hygrophila	0
CR	LL	LTBG	A	Ludwigia	900
CR	LL	LTBG	A	Other	0
CR	LL	LTBG	A	Potamogeton	25
CR	LL	LTBG	A	Sagittaria	2250	
CR	LL	LTBG	A	Vallisneria	12500
CR	OC	04-2013	A	Algae	0
CR	OC	10-2013	A	Algae	0
CR	OC	04-2014	A	Algae	0
CR	OC	10-2014	A	Algae	0
CR	OC	04-2015	A	Algae	0
CR	OC	10-2015	A	Algae	0
CR	OC	04-2016	A	Algae	0
CR	OC	10-2016	A	Algae	0
CR	OC	04-2017	A	Algae	0
CR	OC	10-2017	A	Algae	0
CR	OC	04-2018	A	Algae	0
CR	OC	10-2018	A	Algae	0
CR	OC	04-2019	A	Algae	0
CR	OC	10-2019	A	Algae	0
CR	OC	04-2020	A	Algae	0
CR	OC	10-2020	A	Algae	14
CR	OC	04-2021	A	Algae	0
CR	OC	10-2021	A	Algae	0
CR	OC	04-2013	A	Bryophyte	1459
CR	OC	10-2013	A	Bryophyte	454
CR	OC	04-2014	A	Bryophyte	70
CR	OC	10-2014	A	Bryophyte	129
CR	OC	04-2015	A	Bryophyte	181
CR	OC	10-2015	A	Bryophyte	214
CR	OC	04-2016	A	Bryophyte	88
CR	OC	10-2016	A	Bryophyte	235
CR	OC	04-2017	A	Bryophyte	58
CR	OC	10-2017	A	Bryophyte	134
CR	OC	04-2018	A	Bryophyte	220
CR	OC	10-2018	A	Bryophyte	688
CR	OC	04-2019	A	Bryophyte	680
CR	OC	10-2019	A	Bryophyte	607
CR	OC	04-2020	A	Bryophyte	662
CR	OC	10-2020	A	Bryophyte	687
CR	OC	04-2021	A	Bryophyte	596
CR	OC	10-2021	A	Bryophyte	211
CR	OC	04-2013	A	Cabomba	0
CR	OC	10-2013	A	Cabomba	0
CR	OC	04-2014	A	Cabomba	0
CR	OC	10-2014	A	Cabomba	0
CR	OC	04-2015	A	Cabomba	0
CR	OC	10-2015	A	Cabomba	0
CR	OC	04-2016	A	Cabomba	0
CR	OC	10-2016	A	Cabomba	0
CR	OC	04-2017	A	Cabomba	0
CR	OC	10-2017	A	Cabomba	73
CR	OC	04-2018	A	Cabomba	44
CR	OC	10-2018	A	Cabomba	113
CR	OC	04-2019	A	Cabomba	43
CR	OC	10-2019	A	Cabomba	175
CR	OC	04-2020	A	Cabomba	48
CR	OC	10-2020	A	Cabomba	190
CR	OC	04-2021	A	Cabomba	89
CR	OC	10-2021	A	Cabomba	340
CR	OC	04-2013	A	Hygrophila	1376
CR	OC	10-2013	A	Hygrophila	1240
CR	OC	04-2014	A	Hygrophila	1101
CR	OC	10-2014	A	Hygrophila	1305
CR	OC	04-2015	A	Hygrophila	1474
CR	OC	10-2015	A	Hygrophila	920
CR	OC	04-2016	A	Hygrophila	727
CR	OC	10-2016	A	Hygrophila	478
CR	OC	04-2017	A	Hygrophila	962
CR	OC	10-2017	A	Hygrophila	586
CR	OC	04-2018	A	Hygrophila	663
CR	OC	10-2018	A	Hygrophila	0
CR	OC	04-2019	A	Hygrophila	0
CR	OC	10-2019	A	Hygrophila	0
CR	OC	04-2020	A	Hygrophila	0
CR	OC	10-2020	A	Hygrophila	0
CR	OC	04-2021	A	Hygrophila	0
CR	OC	10-2021	A	Hygrophila	0
CR	OC	04-2013	A	Ludwigia	0
CR	OC	10-2013	A	Ludwigia	0
CR	OC	04-2014	A	Ludwigia	0
CR	OC	10-2014	A	Ludwigia	0
CR	OC	04-2015	A	Ludwigia	0
CR	OC	10-2015	A	Ludwigia	26
CR	OC	04-2016	A	Ludwigia	32
CR	OC	10-2016	A	Ludwigia	35
CR	OC	04-2017	A	Ludwigia	10
CR	OC	10-2017	A	Ludwigia	84
CR	OC	04-2018	A	Ludwigia	116
CR	OC	10-2018	A	Ludwigia	240
CR	OC	04-2019	A	Ludwigia	200
CR	OC	10-2019	A	Ludwigia	304
CR	OC	04-2020	A	Ludwigia	290
CR	OC	10-2020	A	Ludwigia	324
CR	OC	04-2021	A	Ludwigia	234
CR	OC	10-2021	A	Ludwigia	397
CR	OC	04-2013	A	Other	151
CR	OC	10-2013	A	Other	162
CR	OC	04-2014	A	Other	148
CR	OC	10-2014	A	Other	68
CR	OC	04-2015	A	Other	123
CR	OC	10-2015	A	Other	49
CR	OC	04-2016	A	Other	33
CR	OC	10-2016	A	Other	30
CR	OC	04-2017	A	Other	39
CR	OC	10-2017	A	Other	33
CR	OC	04-2018	A	Other	54
CR	OC	10-2018	A	Other	32
CR	OC	04-2019	A	Other	41
CR	OC	10-2019	A	Other	25
CR	OC	04-2020	A	Other	41
CR	OC	10-2020	A	Other	39
CR	OC	04-2021	A	Other	54
CR	OC	10-2021	A	Other	42
CR	OC	04-2013	A	Sagittaria	0
CR	OC	10-2013	A	Sagittaria	0
CR	OC	04-2014	A	Sagittaria	0
CR	OC	10-2014	A	Sagittaria	0
CR	OC	04-2015	A	Sagittaria	0
CR	OC	10-2015	A	Sagittaria	0
CR	OC	04-2016	A	Sagittaria	7
CR	OC	10-2016	A	Sagittaria	0
CR	OC	04-2017	A	Sagittaria	0
CR	OC	10-2017	A	Sagittaria	45
CR	OC	04-2018	A	Sagittaria	0
CR	OC	10-2018	A	Sagittaria	6
CR	OC	04-2019	A	Sagittaria	18
CR	OC	10-2019	A	Sagittaria	31
CR	OC	04-2020	A	Sagittaria	19
CR	OC	10-2020	A	Sagittaria	7
CR	OC	04-2021	A	Sagittaria	0
CR	OC	10-2021	A	Sagittaria	0
CR	OC	04-2013	A	Vallisneria	0
CR	OC	10-2013	A	Vallisneria	0
CR	OC	04-2014	A	Vallisneria	0
CR	OC	10-2014	A	Vallisneria	0
CR	OC	04-2015	A	Vallisneria	0
CR	OC	10-2015	A	Vallisneria	0
CR	OC	04-2016	A	Vallisneria	0
CR	OC	10-2016	A	Vallisneria	0
CR	OC	04-2017	A	Vallisneria	0
CR	OC	10-2017	A	Vallisneria	0
CR	OC	04-2018	A	Vallisneria	0
CR	OC	10-2018	A	Vallisneria	0
CR	OC	04-2019	A	Vallisneria	0
CR	OC	10-2019	A	Vallisneria	0
CR	OC	04-2020	A	Vallisneria	0
CR	OC	10-2020	A	Vallisneria	0
CR	OC	04-2021	A	Vallisneria	0
CR	OC	10-2021	A	Vallisneria	0
CR	OC	LTBG	A	Bryophyte	550
CR	OC	LTBG	A	Cabomba	180
CR	OC	LTBG	A	Hygrophila	0
CR	OC	LTBG	A	Ludwigia	425
CR	OC	LTBG	A	Other	0
CR	OC	LTBG	A	Potamogeton	0
CR	OC	LTBG	A	Sagittaria	450
CR	OC	LTBG	A	Vallisneria	0
CR	UNC	04-2014	A	Algae	0
CR	UNC	10-2014	A	Algae	0
CR	UNC	04-2015	A	Algae	0
CR	UNC	10-2015	A	Algae	0
CR	UNC	04-2016	A	Algae	0
CR	UNC	10-2016	A	Algae	0
CR	UNC	04-2017	A	Algae	0
CR	UNC	10-2017	A	Algae	0
CR	UNC	04-2018	A	Algae	0
CR	UNC	10-2018	A	Algae	0
CR	UNC	04-2019	A	Algae	0
CR	UNC	10-2019	A	Algae	0
CR	UNC	04-2020	A	Algae	0
CR	UNC	10-2020	A	Algae	0
CR	UNC	04-2021	A	Algae	0
CR	UNC	10-2021 A	Algae	0
CR	UNC	04-2014	A	Bryophyte	705
CR	UNC	10-2014	A	Bryophyte	310
CR	UNC	04-2015	A	Bryophyte	9
CR	UNC	10-2015	A	Bryophyte	214
CR	UNC	04-2016	A	Bryophyte	13
CR	UNC	10-2016	A	Bryophyte	3
CR	UNC	04-2017	A	Bryophyte	0
CR	UNC	10-2017	A	Bryophyte	167
CR	UNC	04-2018	A	Bryophyte	278
CR	UNC	10-2018	A	Bryophyte	434
CR	UNC	04-2019	A	Bryophyte	187
CR	UNC	10-2019	A	Bryophyte	368
CR	UNC	04-2020	A	Bryophyte	214
CR	UNC	10-2020	A	Bryophyte	0
CR	UNC	04-2021	A	Bryophyte	288
CR	UNC	10-2021	A	Bryophyte	0
CR	UNC	04-2014	A	Cabomba	285
CR	UNC	10-2014	A	Cabomba	486
CR	UNC	04-2015	A	Cabomba	817
CR	UNC	10-2015	A	Cabomba	465
CR	UNC	04-2016	A	Cabomba	187
CR	UNC	10-2016	A	Cabomba	32
CR	UNC	04-2017	A	Cabomba	5
CR	UNC	10-2017	A	Cabomba	25
CR	UNC	04-2018	A	Cabomba	6
CR	UNC	10-2018	A	Cabomba	29
CR	UNC	04-2019	A	Cabomba	5
CR	UNC	10-2019	A	Cabomba	30
CR	UNC	04-2020	A	Cabomba	8
CR	UNC	10-2020	A	Cabomba	9
CR	UNC	04-2021	A	Cabomba	2
CR	UNC	10-2021	A	Cabomba	12
CR	UNC	04-2014	A	Hygrophila	216
CR	UNC	10-2014	A	Hygrophila	123
CR	UNC	04-2015	A	Hygrophila	268
CR	UNC	10-2015	A	Hygrophila	300
CR	UNC	04-2016	A	Hygrophila	259
CR	UNC	10-2016	A	Hygrophila	156
CR	UNC	04-2017	A	Hygrophila	135
CR	UNC	10-2017	A	Hygrophila	623
CR	UNC	04-2018	A	Hygrophila	760
CR	UNC	10-2018	A	Hygrophila	786
CR	UNC	04-2019	A	Hygrophila	887
CR	UNC	10-2019	A	Hygrophila	1251
CR	UNC	04-2020	A	Hygrophila	1116
CR	UNC	10-2020	A	Hygrophila	991
CR	UNC	04-2021	A	Hygrophila	739
CR	UNC	10-2021	A	Hygrophila	947
CR	UNC	04-2014	A	Ludwigia	234
CR	UNC	10-2014	A	Ludwigia	116
CR	UNC	04-2015	A	Ludwigia	89
CR	UNC	10-2015	A	Ludwigia	79
CR	UNC	04-2016	A	Ludwigia	51
CR	UNC	10-2016	A	Ludwigia	23
CR	UNC	04-2017	A	Ludwigia	25
CR	UNC	10-2017	A	Ludwigia	33
CR	UNC	04-2018	A	Ludwigia	103
CR	UNC	10-2018	A	Ludwigia	107
CR	UNC	04-2019	A	Ludwigia	104
CR	UNC	10-2019	A	Ludwigia	133
CR	UNC	04-2020	A	Ludwigia	112
CR	UNC	10-2020	A	Ludwigia	105
CR	UNC	04-2021	A	Ludwigia	97
CR	UNC	10-2021	A	Ludwigia	55
CR	UNC	04-2014	A	Other	0
CR	UNC	10-2014	A	Other	0
CR	UNC	04-2015	A	Other	0
CR	UNC	10-2015	A	Other	0
CR	UNC	04-2016	A	Other	0
CR	UNC	10-2016	A	Other	0
CR	UNC	04-2017	A	Other	0
CR	UNC	10-2017	A	Other	0
CR	UNC	04-2018	A	Other	0
CR	UNC	10-2018	A	Other	0
CR	UNC	04-2019	A	Other	0
CR	UNC	10-2019	A	Other	0
CR	UNC	04-2020	A	Other	0
CR	UNC	10-2020	A	Other	0
CR	UNC	04-2021	A	Other	0
CR	UNC	10-2021	A	Other	0
CR	UNC	04-2014	A	Sagittaria	0
CR	UNC	10-2014	A	Sagittaria	0
CR	UNC	04-2015	A	Sagittaria	0
CR	UNC	10-2015	A	Sagittaria	0
CR	UNC	04-2016	A	Sagittaria	0
CR	UNC	10-2016	A	Sagittaria	0
CR	UNC	04-2017	A	Sagittaria	0
CR	UNC	10-2017	A	Sagittaria	0
CR	UNC	04-2018	A	Sagittaria	0
CR	UNC	10-2018	A	Sagittaria	6
CR	UNC	04-2019	A	Sagittaria	0
CR	UNC	10-2019	A	Sagittaria	0
CR	UNC	04-2020	A	Sagittaria	0
CR	UNC	10-2020	A	Sagittaria	0
CR	UNC	04-2021	A	Sagittaria	0
CR	UNC	10-2021	A	Sagittaria	0
CR	UNC	04-2014	A	Vallisneria	0
CR	UNC	10-2014	A	Vallisneria	0
CR	UNC	04-2015	A	Vallisneria	0
CR	UNC	10-2015	A	Vallisneria	0
CR	UNC	04-2016	A	Vallisneria	0
CR	UNC	10-2016	A	Vallisneria	0
CR	UNC	04-2017	A	Vallisneria	0
CR	UNC	10-2017	A	Vallisneria	0
CR	UNC	04-2018	A	Vallisneria	0
CR	UNC	10-2018	A	Vallisneria	0
CR	UNC	04-2019	A	Vallisneria	0
CR	UNC	10-2019	A	Vallisneria	0
CR	UNC	04-2020	A	Vallisneria	0
CR	UNC	10-2020	A	Vallisneria	0
CR	UNC	04-2021	A	Vallisneria	0
CR	UNC	10-2021	A	Vallisneria	0
CR	UNC	LTBG	A	Bryophyte	150
CR	UNC	LTBG	A	Cabomba	2500
CR	UNC	LTBG	A	Hygrophila	0
CR	UNC	LTBG	A	Ludwigia	100
CR	UNC	LTBG	A	Other	0
CR	UNC	LTBG	A	Potamogeton	0
CR	UNC	LTBG	A	Sagittaria	0
CR	UNC	LTBG	A	Vallisneria	0
CR	LNC	04-2013	A	Algae	0
CR	LNC	10-2013	A	Algae	0
CR	LNC	04-2014	A	Algae	0
CR	LNC	10-2014	A	Algae	0
CR	LNC	04-2015	A	Algae	0
CR	LNC	10-2015	A	Algae	0
CR	LNC	04-2016	A	Algae	0
CR	LNC	10-2016	A	Algae	0
CR	LNC	04-2017	A	Algae	0
CR	LNC	10-2017	A	Algae	0
CR	LNC	04-2018	A	Algae	0
CR	LNC	10-2018	A	Algae	0
CR	LNC	04-2019	A	Algae	0
CR	LNC	10-2019	A	Algae	0
CR	LNC	04-2020	A	Algae	0
CR	LNC	10-2020	A	Algae	0
CR	LNC	04-2021	A	Algae	0
CR	LNC	10-2021	A	Algae	0
CR	LNC	04-2013	A	Bryophyte	272
CR	LNC	10-2013	A	Bryophyte	33
CR	LNC	04-2014	A	Bryophyte	233
CR	LNC	10-2014	A	Bryophyte	54
CR	LNC	04-2015	A	Bryophyte	0
CR	LNC	10-2015	A	Bryophyte	0
CR	LNC	04-2016	A	Bryophyte	0
CR	LNC	10-2016	A	Bryophyte	0
CR	LNC	04-2017	A	Bryophyte	0
CR	LNC	10-2017	A	Bryophyte	0
CR	LNC	04-2018	A	Bryophyte	0
CR	LNC	10-2018	A	Bryophyte	0
CR	LNC	04-2019	A	Bryophyte	0
CR	LNC	10-2019	A	Bryophyte	0
CR	LNC	04-2020	A	Bryophyte	0
CR	LNC	10-2020	A	Bryophyte	0
CR	LNC	04-2021	A	Bryophyte	0
CR	LNC	10-2021	A	Bryophyte	0
CR	LNC	04-2013	A	Cabomba	1636
CR	LNC	10-2013	A	Cabomba	2089
CR	LNC	04-2014	A	Cabomba	2030
CR	LNC	10-2014	A	Cabomba	3040
CR	LNC	04-2015	A	Cabomba	2618
