freq,Reach,Date,dominant_veg,ltbg,system
0,Upper New Channel Reach,10/25/2017,Open,NA,Comal
1,Upper New Channel Reach,10/25/2017,Bryophytes,20,Comal
3,Upper New Channel Reach,10/25/2017,Bryophytes,20,Comal
5,Upper New Channel Reach,10/25/2017,Hygrophila,NA,Comal
0,Landa Lake,10/24/2017,Sagittaria,1,Comal
0,Old Channel Reach,10/24/2017,Open,NA,Comal
0,Old Channel Reach,10/24/2017,Ludwigia,7,Comal
0,Old Channel Reach,10/24/2017,Open,NA,Comal
19,Landa Lake,10/24/2017,Bryophytes,20,Comal
1,Landa Lake,10/24/2017,Open,NA,Comal
30,Landa Lake,10/24/2017,Cabomba,7,Comal
13,Landa Lake,10/24/2017,Cabomba,7,Comal
2,Landa Lake,10/24/2017,Open,NA,Comal
1,Landa Lake,10/24/2017,Sagittaria,1,Comal
8,Landa Lake,10/24/2017,Bryophytes,20,Comal
23,Old Channel Reach,10/24/2017,Cabomba,7,Comal
38,Old Channel Reach,10/24/2017,Cabomba,7,Comal
33,Old Channel Reach,10/24/2017,Ludwigia,7,Comal
38,Old Channel Reach,10/24/2017,Bryophytes,20,Comal
35,Old Channel Reach,10/24/2017,Bryophytes,20,Comal
0,Upper Spring Run,10/23/2017,Sagittaria,1,Comal
0,Upper Spring Run,10/23/2017,Open,NA,Comal
0,Upper Spring Run,10/23/2017,Open,NA,Comal
0,Upper Spring Run,10/23/2017,Sagittaria,1,Comal
47,Upper Spring Run,10/23/2017,Bryophytes,20,Comal
53,Upper Spring Run,10/23/2017,Bryophytes,20,Comal
5,Upper Spring Run,10/23/2017,Ludwigia,7,Comal
1,Upper Spring Run,10/23/2017,Ludwigia,7,Comal
3,Landa Lake,10/23/2017,Ludwigia,7,Comal
48,Landa Lake,10/23/2017,Vallisneria,1,Comal
75,Landa Lake,10/23/2017,Vallisneria,1,Comal
28,Landa Lake,10/23/2017,Ludwigia,7,Comal
0,Old Channel Reach,5/3/2017,Open,NA,Comal
0,Upper New Channel Reach,5/3/2017,Hygrophila,NA,Comal
0,Upper New Channel Reach,5/3/2017,Hygrophila,NA,Comal
0,Upper New Channel Reach,5/3/2017,Open,NA,Comal
0,Upper New Channel Reach,5/3/2017,Open,NA,Comal
24,Old Channel Reach,5/3/2017,Bryophytes,20,Comal
22,Old Channel Reach,5/3/2017,Bryophytes,20,Comal
12,Old Channel Reach,5/3/2017,Hygrophila,NA,Comal
6,Old Channel Reach,5/3/2017,Hygrophila,NA,Comal
1,Old Channel Reach,5/3/2017,Open,NA,Comal
10,Old Channel Reach,5/3/2017,Ludwigia,7,Comal
2,Old Channel Reach,5/3/2017,Hygrophila,NA,Comal
2,Upper New Channel Reach,5/3/2017,Bryophytes,20,Comal
25,Upper New Channel Reach,5/3/2017,Bryophytes,20,Comal
46,Landa Lake,5/2/2017,Cabomba,7,Comal
117,Landa Lake,5/2/2017,Cabomba,7,Comal
66,Landa Lake,5/2/2017,Sagittaria,1,Comal
1,Landa Lake,5/2/2017,Sagittaria,1,Comal
57,Landa Lake,5/2/2017,Bryophytes,20,Comal
78,Landa Lake,5/2/2017,Bryophytes,20,Comal
4,Landa Lake,5/2/2017,Open,NA,Comal
3,Landa Lake,5/2/2017,Open,NA,Comal
0,Upper Spring Run,5/1/2017,Sagittaria,1,Comal
0,Upper Spring Run,5/1/2017,Open,NA,Comal
0,Upper Spring Run,5/1/2017,Open,NA,Comal
14,Upper Spring Run,5/1/2017,Ludwigia,7,Comal
4,Upper Spring Run,5/1/2017,Ludwigia,7,Comal
6,Upper Spring Run,5/1/2017,Sagittaria,1,Comal
85,Upper Spring Run,5/1/2017,Bryophytes,20,Comal
75,Upper Spring Run,5/1/2017,Bryophytes,20,Comal
1,Landa Lake,5/1/2017,Vallisneria,1,Comal
52,Landa Lake,5/1/2017,Vallisneria,1,Comal
81,Landa Lake,5/1/2017,Ludwigia,7,Comal
33,Landa Lake,5/1/2017,Ludwigia,7,Comal
0,Upper New Channel Reach,10/28/2016,Hygrophila,NA,Comal
1,Upper New Channel Reach,10/28/2016,Cabomba,7,Comal
5,Upper New Channel Reach,10/28/2016,Cabomba,7,Comal
1,Upper New Channel Reach,10/28/2016,Hygrophila,NA,Comal
0,Landa Lake,10/27/2016,Sagittaria,1,Comal
0,Old Channel Reach,10/27/2016,Open,NA,Comal
20,Landa Lake,10/27/2016,Vallisneria,1,Comal
1,Landa Lake,10/27/2016,Sagittaria,1,Comal
107,Landa Lake,10/27/2016,Bryophytes,20,Comal
67,Landa Lake,10/27/2016,Bryophytes,20,Comal
8,Old Channel Reach,10/27/2016,Hygrophila,NA,Comal
12,Old Channel Reach,10/27/2016,Hygrophila,NA,Comal
23,Old Channel Reach,10/27/2016,Bryophytes,20,Comal
36,Old Channel Reach,10/27/2016,Bryophytes,20,Comal
1,Old Channel Reach,10/27/2016,Open,NA,Comal
12,Old Channel Reach,10/27/2016,Ludwigia,7,Comal
6,Old Channel Reach,10/27/2016,Ludwigia,7,Comal
0,Upper Spring Run,10/26/2016,Sagittaria,1,Comal
0,Upper Spring Run,10/26/2016,Sagittaria,1,Comal
4,Upper Spring Run,10/26/2016,Ludwigia,7,Comal
1,Upper Spring Run,10/26/2016,Ludwigia,7,Comal
42,Upper Spring Run,10/26/2016,Bryophytes,20,Comal
4,Upper Spring Run,10/26/2016,Bryophytes,20,Comal
6,Landa Lake,10/26/2016,Ludwigia,7,Comal
15,Landa Lake,10/26/2016,Ludwigia,7,Comal
1,Landa Lake,10/26/2016,Vallisneria,1,Comal
6,Landa Lake,10/26/2016,Cabomba,7,Comal
33,Landa Lake,10/26/2016,Cabomba,7,Comal
0,Upper New Channel Reach,5/11/2016,Open,NA,Comal
15,Old Channel Reach,5/11/2016,Hygrophila,NA,Comal
13,Old Channel Reach,5/11/2016,Hygrophila,NA,Comal
65,Old Channel Reach,5/11/2016,Bryophytes,20,Comal
72,Old Channel Reach,5/11/2016,Bryophytes,20,Comal
19,Old Channel Reach,5/11/2016,Ludwigia,7,Comal
29,Old Channel Reach,5/11/2016,Ludwigia,7,Comal
14,Upper New Channel Reach,5/11/2016,Hygrophila,NA,Comal
7,Upper New Channel Reach,5/11/2016,Hygrophila,NA,Comal
32,Upper New Channel Reach,5/11/2016,Cabomba,7,Comal
52,Upper New Channel Reach,5/11/2016,Cabomba,7,Comal
35,Landa Lake,5/10/2016,Ludwigia,7,Comal
13,Landa Lake,5/10/2016,Vallisneria,1,Comal
9,Landa Lake,5/10/2016,Cabomba,7,Comal
1,Landa Lake,5/10/2016,Open,NA,Comal
9,Landa Lake,5/10/2016,Open,NA,Comal
5,Landa Lake,5/10/2016,Sagittaria,1,Comal
9,Landa Lake,5/10/2016,Sagittaria,1,Comal
86,Landa Lake,5/10/2016,Bryophytes,20,Comal
103,Landa Lake,5/10/2016,Bryophytes,20,Comal
0,Upper Spring Run,5/9/2016,Sagittaria,1,Comal
0,Upper Spring Run,5/9/2016,Sagittaria,1,Comal
0,Upper Spring Run,5/9/2016,Sagittaria,1,Comal
0,Upper Spring Run,5/9/2016,Open,NA,Comal
0,Landa Lake,5/9/2016,Vallisneria,1,Comal
62,Upper Spring Run,5/9/2016,Bryophytes,20,Comal
31,Upper Spring Run,5/9/2016,Bryophytes,20,Comal
115,Upper Spring Run,5/9/2016,Bryophytes,20,Comal
3,Upper Spring Run,5/9/2016,Open,NA,Comal
11,Landa Lake,5/9/2016,Ludwigia,7,Comal
15,Landa Lake,5/9/2016,Cabomba,7,Comal
0,Upper New Channel Reach,12/2/2015,Hygrophila,NA,Comal
0,Upper New Channel Reach,12/2/2015,Open,NA,Comal
6,Upper New Channel Reach,12/2/2015,Cabomba,7,Comal
1,Upper New Channel Reach,12/2/2015,Cabomba,7,Comal
11,Landa Lake,12/1/2015,Cabomba,7,Comal
23,Landa Lake,12/1/2015,Cabomba,7,Comal
6,Landa Lake,12/1/2015,Vallisneria,1,Comal
4,Landa Lake,12/1/2015,Vallisneria,1,Comal
23,Landa Lake,12/1/2015,Ludwigia,7,Comal
7,Landa Lake,12/1/2015,Ludwigia,7,Comal
24,Landa Lake,12/1/2015,Sagittaria,1,Comal
42,Landa Lake,12/1/2015,Sagittaria,1,Comal
43,Landa Lake,12/1/2015,Bryophytes,20,Comal
59,Landa Lake,12/1/2015,Bryophytes,20,Comal
2,Landa Lake,12/1/2015,Open,NA,Comal
18,Landa Lake,12/1/2015,Open,NA,Comal
0,Upper Spring Run,11/30/2015,Nitella,NA,Comal
0,Upper Spring Run,11/30/2015,Sagittaria,1,Comal
0,Upper Spring Run,11/30/2015,Sagittaria,1,Comal
69,Upper Spring Run,11/30/2015,Nitella,NA,Comal
37,Upper Spring Run,11/30/2015,Sagittaria,1,Comal
14,Upper Spring Run,11/30/2015,Nitella,NA,Comal
12,Old Channel Reach,11/30/2015,Hygrophila,NA,Comal
4,Old Channel Reach,11/30/2015,Hygrophila,NA,Comal
14,Old Channel Reach,11/30/2015,Hygrophila,NA,Comal
3,Old Channel Reach,11/30/2015,Hygrophila,NA,Comal
26,Old Channel Reach,11/30/2015,Ludwigia,7,Comal
10,Old Channel Reach,11/30/2015,Ludwigia,7,Comal
0,Upper New Channel Reach,10/28/2015,Hygrophila,NA,Comal
25,Upper New Channel Reach,10/28/2015,Cabomba,7,Comal
13,Upper New Channel Reach,10/28/2015,Cabomba,7,Comal
5,Upper New Channel Reach,10/28/2015,Hygrophila,NA,Comal
0,Landa Lake,10/27/2015,Vallisneria,1,Comal
0,Landa Lake,10/27/2015,Open,NA,Comal
5,Landa Lake,10/27/2015,Vallisneria,1,Comal
5,Landa Lake,10/27/2015,Sagittaria,1,Comal
17,Landa Lake,10/27/2015,Sagittaria,1,Comal
58,Landa Lake,10/27/2015,Bryophytes,20,Comal
73,Landa Lake,10/27/2015,Bryophytes,20,Comal
21,Old Channel Reach,10/27/2015,Bryophytes,20,Comal
10,Old Channel Reach,10/27/2015,Bryophytes,20,Comal
32,Old Channel Reach,10/27/2015,Hygrophila,NA,Comal
12,Old Channel Reach,10/27/2015,Hygrophila,NA,Comal
6,Old Channel Reach,10/27/2015,Ludwigia,7,Comal
15,Old Channel Reach,10/27/2015,Ludwigia,7,Comal
0,Upper Spring Run,10/26/2015,Sagittaria,1,Comal
0,Upper Spring Run,10/26/2015,Sagittaria,1,Comal
17,Upper Spring Run,10/26/2015,Bryophytes,20,Comal
1,Upper Spring Run,10/26/2015,Bryophytes,20,Comal
15,Upper Spring Run,10/26/2015,Green Algae,NA,Comal
9,Upper Spring Run,10/26/2015,Green Algae,NA,Comal
15,Landa Lake,10/26/2015,Cabomba,7,Comal
23,Landa Lake,10/26/2015,Cabomba,7,Comal
25,Landa Lake,10/26/2015,Ludwigia,7,Comal
7,Landa Lake,10/26/2015,Ludwigia,7,Comal
3,Landa Lake,10/26/2015,Open,NA,Comal
20,Upper New Channel Reach,5/1/2015,Cabomba,7,Comal
22,Upper New Channel Reach,5/1/2015,Cabomba,7,Comal
19,Upper New Channel Reach,5/1/2015,Hygrophila,NA,Comal
13,Upper New Channel Reach,5/1/2015,Hygrophila,NA,Comal
2,Landa Lake,4/30/2015,Vallisneria,1,Comal
2,Landa Lake,4/30/2015,Vallisneria,1,Comal
23,Landa Lake,4/30/2015,Cabomba,7,Comal
2,Landa Lake,4/30/2015,Cabomba,7,Comal
62,Landa Lake,4/30/2015,Bryophytes,20,Comal
53,Landa Lake,4/30/2015,Bryophytes,20,Comal
34,Landa Lake,4/30/2015,Sagittaria,1,Comal
39,Landa Lake,4/30/2015,Sagittaria,1,Comal
